,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Mar 2009,25,94.94%,21,46.78%,14.98%,9.04%,12.62%,4,17%,0,1,1,3,38%,2,3.17,0%,3,3.09,8,4,5,2.89,0.13,2.26,20,6,10,4,0,0,13,4,6,1,2,0,20,524774,,,
Mar 2010,30,17.18%,25,40.69%,17.34%,10.06%,15.60%,5,16%,0,0,1,4,31%,3,4.37,0%,3,3.09,11,5,7,4.03,0.06,2.57,25,6,10,4,1,1,17,4,8,1,4,0,25,524774,,,
Mar 2011,35,17.58%,30,48.64%,17.86%,10.36%,8.96%,5,14%,0,1,1,4,37%,2,3.92,0%,3,3.09,13,6,9,7.14,0.00,2.21,32,11,15,4,1,2,19,5,11,1,2,1,32,524774,,,
Mar 2012,36,3.02%,32,51.81%,16.87%,10.27%,10.14%,4,11%,0,1,1,2,32%,1,1.70,0%,3,3.09,14,10,10,7.64,0.00,2.24,37,10,16,6,5,2,21,6,11,1,2,1,37,524774,,,
Mar 2013,56,53.89%,48,51.70%,16.12%,10.64%,7.92%,8,14%,0,1,2,4,35%,3,4.71,0%,3,3.09,17,13,14,11.14,0.00,2.93,47,18,25,8,0,0,30,10,15,2,3,1,47,524774,,,
Mar 2014,79,41.93%,68,51.17%,14.57%,9.79%,10.22%,11,14%,-1,2,2,7,32%,5,7.33,0%,3,3.09,21,17,15,11.38,0.00,3.25,56,19,29,10,0,0,37,8,24,1,2,2,56,524774,,,
Mar 2015,88,11.98%,73,47.15%,13.27%,10.64%,12.00%,15,17%,2,2,3,13,35%,8,13.48,0%,3,3.09,30,13,21,0.00,0.00,20.51,67,17,29,11,1,2,46,12,26,2,2,4,67,524774,,,
Mar 2016,96,9.02%,74,42.38%,11.51%,11.79%,11.52%,22,23%,0,2,3,18,36%,11,18.45,0%,3,3.09,41,14,19,11.60,0.00,7.26,78,24,38,13,2,3,49,10,32,2,2,2,78,524774,,,
Mar 2017,100,3.57%,74,38.00%,16.46%,13.89%,6.11%,25,26%,1,1,3,23,35%,15,24.10,0%,3,3.09,56,23,20,13.97,0.00,5.91,102,25,28,3,16,6,55,12,30,2,1,11,102,524774,,,
Mar 2018,114,13.97%,92,40.36%,18.03%,16.16%,6.48%,22,19%,3,2,5,18,29%,13,20.38,0%,3,3.09,69,27,31,22.54,0.00,8.05,129,56,64,7,3,6,63,17,28,4,1,14,129,524774,,,
Mar 2019,153,34.76%,121,41.80%,15.69%,13.81%,7.61%,32,21%,4,3,6,28,27%,20,32.58,5%,3,3.09,89,27,23,15.44,0.00,7.45,142,61,74,13,0,9,73,19,33,3,16,1,142,524774,,,
Mar 2020,152,-0.65%,129,43.42%,18.56%,15.65%,7.17%,23,15%,1,3,7,14,26%,11,17.16,10%,3,3.09,98,28,26,19.15,0.00,6.97,156,61,81,20,0,14,80,28,26,3,16,7,156,524774,,,
TTM,184,,146,,,,,37,20%,7,2,7,35,,26,41.81,,,,,,,,,,,,,,,,,,,,,,,524774,,,
Sep 2020,,,,,,,,,,,,,,,,,,3,3.09,120,24,44,30.27,,13.83,192,59,,,0,18,115,29,50,10,10,16,192,524774,,,
Mar 2009,359,3.93%,331,77%,11%,2%,2%,28,8%,2,6,8,15,57%,7,0.77,-0%,17,17.14,55,44,,,,,144,90,165,75,2,3,49,14,11,14,11,0,144,526227,,,28
Mar 2010,399,11.20%,361,75%,12%,2%,1%,38,10%,1,5,9,26,34%,17,2.01,10%,17,17.14,70,35,,,,,159,95,177,83,7,-0,58,27,20,3,8,0,159,526227,,,37
Mar 2011,486,21.83%,445,82%,6%,2%,1%,41,9%,1,5,9,28,32%,19,2.22,9%,17,17.14,87,81,,,,,247,106,198,92,33,-0,108,51,27,8,11,11,247,526227,,,62
Mar 2012,473,-2.68%,441,82%,7%,3%,1%,32,7%,1,4,10,19,30%,14,1.14,18%,24,24.00,122,260,,,,,459,177,278,101,185,0,97,49,27,6,11,5,459,526227,,,53
Mar 2013,1232,160.20%,1187,86%,7%,2%,1%,45,4%,3,23,21,4,39%,2,0.20,-0%,24,24.00,126,403,,,,,745,399,519,120,4,-0,342,90,138,70,55,-12,745,526227,,,192
Mar 2014,1769,43.64%,1727,89%,5%,2%,2%,42,2%,12,40,26,-12,30%,-8,-0.57,-0%,28,28.24,124,422,,,,,777,399,539,140,1,-0,377,67,214,32,83,-19,777,526227,,,203
Mar 2015,1573,-11.11%,1494,86%,5%,2%,2%,79,5%,10,54,21,14,33%,10,0.60,-0%,32,32.00,138,419,,,,,716,388,549,161,2,-0,326,119,149,15,51,-9,716,526227,,,127
Mar 2016,1278,-18.73%,1191,82%,5%,3%,2%,87,7%,18,51,21,33,20%,26,1.64,-0%,32,32.00,165,490,,,,,881,492,672,180,18,0,370,99,216,13,63,-20,881,526227,,,194
Mar 2017,1549,21.15%,1415,75%,10%,3%,3%,134,9%,8,59,29,54,25%,41,1.86,-0%,44,43.50,281,535,,,,,1059,629,656,27,6,0,425,149,199,15,92,-30,1059,526227,,,200
Mar 2018,1933,24.85%,1777,77%,10%,3%,2%,157,8%,11,44,31,93,36%,60,2.75,-0%,44,43.50,341,712,,,,,1438,945,988,43,7,0,486,194,171,26,156,-60,1438,526227,,,341
Mar 2019,2874,48.66%,2658,79%,9%,2%,2%,217,8%,14,55,45,131,35%,85,3.90,-0%,44,43.50,426,594,,,,,1415,928,1032,104,72,0,415,173,99,44,171,-71,1415,526227,,,352
Mar 2020,2782,-3.20%,2560,76%,11%,3%,2%,222,8%,12,61,51,122,0%,121,5.53,-0%,44,43.94,549,720,,,,,1621,1157,1312,154,25,0,439,172,119,22,186,-59,1621,526227,,,309
TTM,2058,,1901,,,,,156,8%,10,76,57,33,,21,0.97,,,,,,,,,,,,,,,,,,,,,,,526227,,,
Sep 2020,,,,,,,,,,,,,,,,,,44,44.16,532,601,,,,,1712,1157,,,34,121,400,132,79,56,1,132,1712,526227,,,534
Mar 2015,651,,347,,2.16%,31.72%,19.43%,304,47%,2,0,11,295,32%,201,,23%,126,126,1209,0,267,11,,257,1603,189,255,66,0,1123,291,,8,3,122,158,1603,543238,,,
Mar 2016,746,14.73%,396,,2.17%,32.99%,17.84%,351,47%,3,0,12,342,32%,232,,20%,127,127,1452,0,165,13,,152,1744,184,257,73,3,1331,226,,16,4,91,115,1744,543238,,,
Mar 2017,846,13.30%,442,,2.11%,30.50%,19.66%,404,48%,8,0,13,399,27%,291,,17%,127,127,1687,0,190,13,,177,2004,278,362,84,3,1558,165,,12,3,37,113,2004,543238,,,
Mar 2018,1018,20.36%,523,,1.97%,28.81%,20.58%,495,49%,1,0,14,482,29%,341,,19%,127,127,2046,0,273,140,,132,2445,272,363,91,5,1980,188,,30,2,156,-1,2445,543238,,,
Mar 2019,983,-3.39%,500,,2.88%,28.15%,19.81%,483,49%,25,0,16,492,29%,348,,18%,127,127,2281,0,232,2,,230,2639,267,291,23,1,2117,254,,9,9,219,18,2639,543238,,,
Mar 2020,832,-15.43%,443,,3.32%,37.24%,12.69%,389,47%,30,9,33,376,18%,309,,29%,127,127,2468,0,336,0,,336,2931,371,423,52,1,2269,290,,24,1,257,8,2931,543238,,,
Sep 2020,,,,,,,,,,,,,,,,,,127,127,2623,0,307,0,,307,3057,364,,,1,2353,338,,31,7,52,249,3057,543238,,,
Mar 2009,649,16.86%,498,67%,6%,3%,2%,151,23%,23,1,4,169,32%,115,113.47,11%,10,10.12,255,0,70,2,32,36,335,18,37,19,14,135,167,52,102,6,7,0,335,532757,,,
Mar 2010,542,-16.48%,436,70%,6%,3%,2%,106,20%,23,1,6,122,33%,83,81.57,15%,10,10.12,322,0,64,8,26,31,397,44,68,24,4,106,243,61,130,41,12,-0,397,532757,,,
Mar 2011,535,-1.22%,469,76%,5%,3%,4%,67,12%,18,1,8,77,33%,52,51.18,18%,10,10.12,364,0,53,3,24,27,427,56,88,32,1,93,277,88,145,36,7,1,427,532757,,,
Mar 2012,570,6.44%,528,80%,6%,3%,3%,42,7%,15,0,8,48,31%,33,32.89,30%,10,10.12,385,0,57,7,21,29,452,54,94,40,1,110,288,102,174,5,6,1,452,532757,,,
Mar 2013,516,-9.53%,481,80%,5%,4%,4%,34,7%,20,0,8,46,29%,33,32.52,46%,10,10.12,400,0,51,0,0,51,461,52,99,47,0,174,235,72,145,11,7,1,461,532757,,,
Mar 2014,445,-13.72%,430,83%,5%,4%,5%,15,3%,27,0,7,34,23%,26,25.99,38%,10,10.12,415,0,56,16,14,26,481,47,100,53,0,218,215,57,143,1,13,0,481,532757,,,
Mar 2015,517,16.21%,497,82%,5%,4%,4%,20,4%,21,0,7,33,15%,28,28.08,36%,10,10.12,431,0,55,13,16,26,495,41,101,60,1,211,242,82,144,3,12,1,495,532757,,,
Mar 2016,563,8.98%,526,79%,5%,4%,5%,37,7%,28,0,6,59,26%,44,43.47,29%,10,10.12,459,0,51,4,14,33,521,39,102,63,0,220,262,95,149,2,15,1,521,532757,,,
Mar 2017,611,8.46%,551,78%,3%,4%,5%,60,10%,39,1,6,93,22%,72,71.37,21%,10,10.12,555,0,48,2,23,23,613,38,44,6,1,313,260,83,154,4,10,10,613,532757,,,
Mar 2018,639,4.56%,571,58%,23%,4%,5%,67,11%,39,1,6,100,27%,73,72.63,21%,10,10.12,610,0,50,1,20,28,670,43,55,12,3,352,272,97,144,8,12,11,670,532757,,,
Mar 2019,829,29.75%,735,56%,25%,4%,4%,94,11%,36,1,7,123,31%,85,83.86,27%,10,10.12,677,0,64,1,26,37,751,48,67,19,0,381,321,108,177,11,12,14,751,532757,,,
Mar 2020,859,3.59%,750,53%,26%,4%,5%,109,13%,15,1,9,113,21%,89,88.35,28%,10,10.12,738,0,69,7,29,33,817,58,84,26,1,454,304,116,150,6,13,20,817,532757,,,
TTM,709,,618,,,,,91,13%,36,0,9,118,,96,94.57,,,,,,,,,,,,,,,,,,,,,,,532757,,,
Sep 2020,,,,,,,,,,,,,,,,,,10,10.12,762,0,77,19,,59,849,54,,,4,542,249,103,105,7,18,15,849,532757,,,
Mar 2009,30,7.66%,25,48%,18%,9%,10%,5,15%,0,1,2,2,10%,2,,0%,7,6.80,-14,26,9,7.17,0.55,1.51,28,14,30,16,0,0,14,1.55,7.70,0.12,7.02,-2.12,28,523840,,,
Sep 2010,51,72.28%,45,52%,17%,9%,8%,7,13%,5,1,3,8,31%,5,,0%,1,0.69,-2,18,11,4.66,2.38,3.74,27,14,32,18,1,0,12,2.03,6.04,0.60,4.89,-1.69,27,523840,,,
Apr 2011,27,,22,54%,14%,8%,7%,4,16%,13,1,1,16,5%,15,6.85,0%,2,2.19,13,6,10,5.53,1.93,2.56,31,19,39,19,0,0,12,3.19,6.75,0.23,2.46,-0.27,31,523840,,,
Mar 2012,48,-7.03%,40,60%,9%,8%,6%,8,17%,1,1,3,6,0%,6,2.55,0%,2,2.19,18,4,9,6.12,0.07,2.95,33,19,41,21,0,0,14,2.45,7.79,1.32,1.80,1.02,33,523840,,,
Mar 2013,61,28.68%,49,62%,9%,8%,0%,12,20%,-3,1,7,1,0%,1,0.25,0%,2,2.19,19,13,11,9.78,0.08,1.61,46,20,44,24,0,0,25,3.37,12.93,1.26,1.94,5.85,46,523840,,,
Mar 2014,76,23.66%,65,62%,10%,8%,5%,11,14%,-1,3,6,2,0%,2,0.84,0%,2,2.19,21,15,14,6.16,0.07,8.00,52,22,51,30,0,1,29,4.96,12.99,3.24,2.67,5.11,52,523840,,,
Mar 2015,75,-0.61%,63,59%,10%,9%,5%,13,17%,-0,4,6,3,0%,3,1.53,7%,2,2.19,24,18,14,8.95,0.01,5.07,58,24,55,31,0,1,33,3.90,13.62,3.30,6.88,4.83,58,523840,,,
Mar 2016,90,18.60%,74,60%,9%,8%,5%,16,17%,-1,4,6,5,26%,3,1.56,10%,2,2.19,27,33,17,7.07,0.01,10.23,80,40,80,40,2,6,32,5.62,11.66,2.59,4.64,7.42,80,523840,,,
Mar 2017,102,14.36%,78,53%,10%,8%,5%,24,23%,2,7,8,11,20%,9,4.18,6%,2,2.19,36,42,20,14.23,0.09,5.27,100,59,105,46,0,2,39,9.34,16.29,5.41,5.17,2.80,100,523840,,,
Mar 2018,124,21.23%,101,53%,12%,10%,5%,23,19%,-0,9,10,5,36%,3,1.46,7%,2,2.19,39,42,22,16.53,0.13,5.07,104,60,113,54,0,9,35,8.82,18.75,1.85,4.62,1.35,104,523840,,,
Mar 2019,144,16.31%,122,59%,10%,10%,5%,22,16%,1,9,11,4,38%,3,1.19,13%,2,2.25,42,47,26,20.19,0.09,5.32,116,69,139,70,0,2,46,12.04,21.78,5.06,4.13,2.54,116,523840,,,
Mar 2020,150,3.91%,128,55%,10%,11%,9%,22,15%,3,11,12,3,29%,2,0.89,0%,2,2.25,43,21,55,30.27,,25.01,121,62,,,4,2,54,13.38,20.99,6.01,2.27,11.03,121,523840,,,
TTM,141,,122,,,,,19,14%,4,9,11,2,,2,0.71,,,,,,,,,,,,,,,,,,,,,,,523840,,,
Sep 2020,,,,,,,,,,,,,,,,,,2,2.25,44,26,44,24.25,,20.11,117,59,,,4,2,53,10.47,25.08,4.57,2.29,10.25,117,523840,,,
Mar 2017,19.03,,17.69,17.76%,12.24%,6.52%,56.44%,1.34,7.04%,0.03,0.38,0.14,0.85,34.12%,0.56,0.76,0.00%,2.95,2.95,3.65,1.10,2.23,,0.00,2.23,9.93,0.62,0.80,0.18,0.22,0.00,9.09,4.20,4.15,0.28,0.35,0.11,9.93,NSE - SM : NANDANI,,,
Mar 2018,19.87,4.41%,17.48,31.25%,25.16%,11.02%,20.53%,2.39,12.03%,-0.03,0.68,0.33,1.35,29.63%,0.96,1.30,0.00%,2.95,2.95,4.61,7.35,7.00,,0.01,6.99,21.91,1.41,1.91,0.50,0.22,0.21,20.07,12.17,7.21,0.11,0.43,0.15,21.91,NSE - SM : NANDANI,,,
Mar 2019,34.21,72.17%,31.02,14.91%,34.05%,7.31%,34.41%,3.19,9.32%,0.02,1.19,0.47,1.55,29.03%,1.11,1.50,0.00%,2.95,2.95,5.71,10.49,8.90,,0.14,8.76,28.05,1.44,2.38,0.94,0.22,0.21,26.18,17.50,7.10,0.23,1.16,0.19,28.05,NSE - SM : NANDANI,,,
Mar 2020,46.16,34.93%,42.93,15.73%,34.23%,6.61%,36.44%,3.23,7.00%,0.10,1.69,0.38,1.26,32.54%,0.85,1.03,0.00%,8.23,8.23,2.14,10.36,14.20,,0.02,14.18,34.93,1.20,2.50,1.30,0.27,0.21,33.25,23.26,7.45,0.12,2.16,0.26,34.93,NSE - SM : NANDANI,,,
Mar 2009,3.71,18.91%,1.13,,0.81%,6.20%,23.45%,2.58,69.54%,0.00,1.34,0.04,1.20,36.67%,0.76,1.52,46.05%,5.00,5.00,2.32,9.00,1.90,0.16,,1.74,18.22,0.77,2.24,1.23,0.00,0.00,17.45,16,0,0,1,0,18.22,511754,,,
Mar 2010,4.63,24.80%,1.46,,0.86%,6.05%,24.62%,3.17,68.47%,0.00,1.37,0.05,1.75,32.00%,1.19,2.38,33.61%,5.00,5.00,3.04,10.14,2.14,0.16,,1.98,20.32,0.78,2.29,1.27,0.00,0.00,19.54,19,0,0,0,0,20.32,511754,,,
Mar 2011,6.16,33.05%,1.79,,0.97%,5.52%,22.56%,4.37,70.94%,-0.17,1.76,0.05,2.39,38.91%,1.46,2.92,27.40%,5.00,5.00,4.10,14.65,3.07,0.17,,2.90,26.82,0.83,1.08,0.24,0.00,0.00,25.99,25,0,0,0,0,26.82,511754,,,
Mar 2012,8.22,33.44%,2.19,,0.73%,5.23%,20.68%,6.03,73.36%,-0.01,2.55,0.06,3.41,36.66%,2.16,4.32,18.52%,5.00,5.00,5.80,18.49,3.65,0.32,,3.33,32.94,0.85,1.15,0.30,0.00,0.00,32.09,21,0,0,0,11,32.94,511754,,,
Mar 2013,10.04,22.14%,2.53,,0.60%,5.48%,19.12%,7.51,74.80%,-0.13,2.84,0.06,4.48,36.83%,2.83,5.66,15.90%,5.00,5.00,8.24,19.13,4.58,0.37,,4.21,36.95,0.82,1.18,0.36,0.00,0.00,36.13,23,0,0,0,12,36.95,511754,,,
Mar 2014,10.58,5.38%,2.93,,0.66%,6.52%,20.51%,7.65,72.31%,0.01,2.81,0.06,4.79,37.16%,3.01,6.02,16.61%,5.00,5.00,10.44,20.64,5.38,0.36,,5.02,41.46,0.78,1.20,0.42,0.00,0.00,40.68,27,0,1,0,13,41.46,511754,,,
Mar 2015,12.42,17.39%,3.43,,0.64%,6.20%,20.77%,8.99,72.38%,0.08,3.15,0.06,5.86,35.32%,3.79,7.58,13.19%,5.00,5.00,13.60,25.39,6.03,0.37,,5.66,50.02,0.94,1.37,0.44,0.00,0.00,49.08,32,0,1,0,16,50.02,511754,,,
Mar 2016,13.00,4.67%,3.76,,0.62%,7.38%,20.92%,9.24,71.08%,0.01,3.75,0.04,5.46,36.81%,3.46,6.92,14.45%,5.00,5.00,16.45,28.86,4.26,0.38,,3.88,54.57,1.26,1.74,0.48,0.00,0.00,53.31,35,0,1,0,18,54.57,511754,,,
Mar 2017,15.64,20.31%,4.55,,0.58%,8.38%,20.14%,11.09,70.91%,0.00,4.55,0.05,6.49,33.74%,4.30,8.59,11.63%,5.00,5.00,20.15,43.42,4.23,0.38,,3.85,72.80,1.59,2.12,0.52,0.00,1.25,69.96,46,0,1,0,23,72.80,511754,,,
Mar 2018,19.40,24.04%,4.62,,0.36%,9.43%,14.02%,14.78,76.19%,0.00,6.79,0.06,7.93,28.50%,5.67,11.33,10.58%,5.00,5.00,25.82,59.50,6.01,0.06,,5.95,96.33,1.98,2.57,0.58,0.00,1.25,93.10,59,0,3,0,30,96.33,511754,,,
Mar 2019,22.22,14.54%,5.12,,0.27%,9.41%,13.37%,17.10,76.96%,0.00,8.09,0.08,8.93,28.44%,6.40,12.79,9.38%,5.00,5.00,31.65,71.45,6.98,0.00,,6.98,115.08,2.12,2.77,0.66,0.00,1.42,111.54,0,0,3,1,108,115.08,511754,,,
Mar 2020,23.90,7.56%,6.56,,0.25%,9.96%,17.24%,17.34,72.55%,0.09,9.33,0.06,8.04,27.74%,5.81,11.61,0.00%,5.00,5.00,36.73,75.93,7.59,0.00,,7.59,125.25,2.22,2.95,0.72,0.00,1.51,121.52,0,0,5,3,113,125.25,511754,,,
TTM,22.76,,7.00,,,,,15.76,69.24%,0.01,9.02,0.06,6.69,,4.76,9.52,,,,,,,,,,,,,,,,,,,,,,,511754,,,
Sep 2020,,,,,,,,,,,,,,,,,,5.00,5.00,38.98,73.72,5.97,0.00,,5.97,123.67,2.20,,,0.00,0.00,121.47,0,0,6,113,2,123.67,511754,,,
Mar 2009,451,-2.62%,430,69%,14%,5%,8%,21,5%,8,36,9,-16,22%,-13,,-0%,40,36.53,31,161,131,108,0,24,360,101,194,93,56,5,198,65,59,14,57,3,360,520051,,3.50,
Mar 2010,604,33.91%,542,64%,14%,5%,7%,62,10%,3,26,14,25,22%,19,0.52,-0%,40,36.54,42,119,189,167,0,22,386,146,254,108,22,5,213,79,54,17,66,-2,386,520051,,3.50,
Mar 2011,903,49.51%,796,68%,10%,5%,5%,107,12%,1,22,32,54,32%,37,0.95,21%,43,39.28,92,138,253,218,0,35,522,174,321,148,30,5,313,107,131,12,38,26,522,520051,,3.50,
Mar 2012,1120,23.96%,1015,69%,11%,5%,6%,104,9%,-2,19,32,51,18%,42,1.07,33%,43,39.40,113,183,297,239,0,58,632,185,364,179,89,5,353,136,129,15,36,37,632,520051,,3.50,
Mar 2013,980,-12.46%,895,66%,13%,6%,6%,86,9%,2,27,29,32,14%,28,0.70,28%,43,39.50,132,166,264,218,0,46,601,265,463,198,17,5,314,132,107,15,24,36,601,520051,,3.50,
Mar 2014,833,-14.98%,789,68%,13%,7%,7%,44,5%,22,24,26,17,17%,14,0.35,29%,41,39.50,140,125,234,45,0,189,539,259,467,208,2,-0,277,101,108,14,28,27,539,520051,,1.75,
Mar 2015,1095,31.41%,1001,67%,13%,6%,5%,95,9%,2,18,31,47,38%,29,0.74,30%,40,39.62,157,64,234,55,0,179,495,242,479,237,8,-0,245,109,56,11,31,38,495,520051,,0.00,
Mar 2016,1256,14.68%,1092,63%,10%,7%,6%,164,13%,7,20,45,105,32%,72,1.80,31%,40,39.72,202,16,226,132,4,90,484,211,488,277,65,-0,207,107,38,8,19,36,484,520051,,0.00,
Mar 2017,1292,2.92%,1091,60%,11%,8%,6%,201,16%,6,14,48,145,28%,105,2.63,27%,40,39.83,293,73,155,77,7,71,561,281,283,2,20,0,259,113,34,15,56,42,561,520051,,0.00,
Mar 2018,1738,34.48%,1499,63%,10%,7%,6%,239,14%,9,20,41,186,33%,125,3.14,27%,40,39.83,384,63,303,204,16,83,789,301,373,72,31,0,457,158,191,12,78,17,789,520051,,0.00,
Mar 2019,2135,22.82%,1856,64%,11%,7%,5%,279,13%,11,28,46,216,36%,137,3.45,28%,40,39.83,470,4,554,437,24,93,1067,373,491,118,40,0,655,229,304,25,61,36,1067,520051,,0.00,
Mar 2020,1129,-47.12%,1013,63%,10%,10%,7%,116,10%,15,18,41,72,33%,48,1.20,33%,40,39.83,477,152,121,38,0,83,790,369,521,153,132,0,289,130,80,4,42,34,790,520051,,0.00,
TTM,718,,659,,,,,59,8%,14,10,34,29,,17,0.41,,,,,,,,,,,,,,,,,,,,,,,520051,,,
Sep 2020,,,,,,,,,,,,,,,,,,40,39.83,472,45,226,137,,88,783,358,,,142,0,282,156,28,26,5,66,783,520051,,,
Mar 2009,557,19.23%,468,72%,1%,4%,6%,89,16%,-20,41,5,22,40%,13,0.89,11%,20,14.79,258,317,149,116,1,32,739,67,97,31,1,26,646,115,342,48,135,6,739,530343,,5.00,
Mar 2010,654,17.48%,563,71%,1%,5%,10%,91,14%,-12,42,5,31,15%,26,1.78,6%,15,14.79,282,248,192,159,1,32,738,69,90,21,2,56,611,91,376,32,109,3,738,530343,,0.00,
Mar 2011,714,9.23%,614,71%,1%,6%,9%,100,14%,18,37,5,76,19%,61,4.02,2%,15,15.19,353,300,196,122,1,74,864,76,102,26,10,86,692,107,377,33,120,54,864,530343,,0.00,
Mar 2012,705,-1.22%,607,70%,1%,6%,9%,99,14%,1,47,7,45,-46%,66,4.16,2%,16,15.89,430,323,193,122,2,68,962,84,117,33,19,88,771,90,435,27,109,109,962,530343,,0.00,
Mar 2013,652,-7.53%,581,70%,2%,8%,9%,71,11%,29,44,9,47,5%,45,2.80,4%,16,15.89,472,285,158,91,3,64,932,98,139,41,18,110,706,97,361,29,58,161,932,530343,,0.00,
Mar 2014,766,17.35%,667,67%,1%,7%,11%,98,13%,9,36,11,61,1%,60,2.36,4%,26,25.66,408,311,137,87,2,49,882,99,150,51,20,136,626,87,344,52,28,115,882,530343,,0.00,
Mar 2015,915,19.53%,796,67%,1%,7%,11%,119,13%,1,33,16,71,25%,53,2.07,10%,26,25.67,462,361,201,125,4,72,1049,130,191,61,1,122,796,156,400,49,28,164,1049,530343,,0.00,
Mar 2016,858,-6.21%,735,66%,1%,8%,11%,124,14%,20,29,14,101,20%,80,3.12,8%,26,25.68,630,233,171,110,13,48,1059,138,146,7,2,143,776,118,415,62,86,96,1059,530343,,0.00,
Mar 2017,642,-25.14%,556,64%,1%,12%,10%,87,13%,24,25,15,70,18%,58,2.25,20%,26,25.72,679,221,156,94,14,49,1082,164,191,28,0,239,679,116,330,57,97,79,1082,530343,,0.00,
Mar 2018,835,29.99%,741,69%,1%,10%,8%,94,11%,21,23,17,75,31%,52,2.00,20%,26,25.72,723,240,334,250,12,72,1322,167,211,45,2,236,918,196,508,38,113,63,1322,530343,,0.00,
Mar 2019,1055,26.40%,927,68%,1%,9%,9%,129,12%,17,34,19,93,22%,72,2.81,21%,26,25.74,785,276,316,235,8,73,1403,178,240,62,2,268,955,207,573,39,93,42,1403,530343,,0.00,
Mar 2020,1060,0.47%,886,63%,1%,10%,9%,174,16%,17,33,22,137,32%,94,3.64,3%,26,25.74,860,257,297,200,8,89,1439,173,249,76,1,255,1011,151,629,106,72,52,1439,530343,,0.00,
TTM,765,,643,,,,,122,16%,25,27,22,98,,53,2.04,,,,,,,,,,,,,,,,,,,,,,,530343,,,
Sep 2020,,,,,,,,,,,,,,,,,,26,25.74,861,161,232,117,,114,1280,167,,,0,268,844,130,528,74,51,61,1280,530343,,,
Mar 2009,206,14.95%,176,64%,4%,12%,5%,29,14%,1,7,7,17,45%,9,,30%,6,6.00,49,55,33,23,0,10,143,70,101,31,0,4,69,19,43,1,6,-1,143,532509,0,,
Mar 2010,248,20.33%,202,62%,3%,12%,5%,46,18%,0,6,7,33,33%,22,1.85,35%,12,12.00,58,62,39,22,0,17,171,70,107,37,2,9,90,22,58,1,10,-1,171,532509,0,,
Mar 2011,345,39.24%,288,64%,3%,12%,5%,57,16%,5,7,7,47,29%,33,2.73,16%,12,12.00,85,66,58,39,0,19,220,87,132,45,4,8,121,33,73,3,10,3,220,532509,0,,
Mar 2012,421,22.04%,352,66%,3%,12%,4%,69,16%,3,10,7,55,27%,40,3.32,20%,12,12.00,117,83,70,46,0,23,282,101,154,54,13,18,150,39,89,3,12,6,282,532509,0,,
Mar 2013,458,8.74%,380,63%,3%,12%,4%,78,17%,8,11,8,67,29%,47,3.93,19%,12,12.00,155,112,73,46,0,27,352,119,180,62,18,45,170,49,93,8,11,10,352,532509,0,,
Mar 2014,540,18.05%,447,61%,4%,13%,5%,93,17%,4,14,8,74,32%,51,4.23,22%,12,12.00,193,156,95,59,1,36,456,152,224,72,1,75,228,77,119,8,20,5,456,532509,0,,
Mar 2015,605,11.96%,508,62%,4%,14%,5%,97,16%,4,17,9,75,33%,50,4.19,23%,12,12.00,229,194,94,57,0,37,529,168,249,81,17,112,232,80,125,6,17,5,529,532509,0,,
Mar 2016,940,55.33%,790,60%,4%,13%,7%,150,16%,16,26,16,123,35%,72,5.48,19%,13,13.13,434,298,216,95,2,65,962,330,451,120,18,149,465,169,210,19,51,17,962,532509,54,,
Mar 2017,1203,28.00%,1005,57%,3%,16%,6%,198,16%,24,30,27,164,31%,114,8.66,17%,14,13.99,510,378,236,105,2,129,1138,556,583,27,2,23,557,206,244,22,76,9,1138,532509,0,,
Mar 2018,1431,18.97%,1194,56%,3%,18%,6%,237,17%,21,27,37,193,28%,138,9.90,14%,14,13.99,641,345,306,182,1,123,1306,544,607,63,3,130,629,241,289,32,51,15,1306,532509,0,,
Mar 2019,1590,11.10%,1357,58%,3%,19%,6%,233,15%,38,25,41,205,35%,134,9.57,16%,14,13.99,761,362,321,175,1,145,1458,553,657,104,27,172,706,282,292,47,60,25,1458,532509,0,,
Mar 2020,1563,-1.70%,1344,59%,3%,19%,6%,219,14%,-5,23,58,133,22%,104,7.43,24%,14,13.99,840,391,350,214,1,135,1594,613,797,167,15,276,689,290,275,64,59,2,1594,532509,0,,
TTM,1422,,1248,,,,,174,12%,-4,22,57,91,,68,4.84,,,,,,,,,,,,,,,,,,,,,,,532509,,,
Sep 2020,,,,,,,,,,,,,,,,,,14,13.99,874,260,435,230,,205,1583,604,,,3,285,692,269,302,66,7,47,1583,532509,0,,
