,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Non controlling int,Preference Capital,Other Liabilities+
Mar 2011,180,36.10%,155,27.43%,28.69%,11.74%,17.80%,26,14%,1,3,9,15,32%,10,10.10,45%,10,9.82,42,35,53,19.94,,33.17,139,89,143,54,0,0,50,12.12,32.08,2.10,2.62,1.54,139,520075,,,
Mar 2012,194,7.70%,162,28.41%,21.78%,18.22%,15.18%,32,16%,1,5,11,18,34%,12,12.00,0%,10,9.82,53,41,59,19.04,,40.10,163,98,163,65,0,0,64,24.03,33.19,2.60,2.91,1.70,163,520075,,,
Mar 2013,170,-12.76%,139,50.25%,1.47%,17.77%,12.60%,30,18%,0,8,10,13,32%,9,8.83,28%,10,9.82,58,41,52,20.15,,32.13,160,100,175,75,4,0,57,20.57,31.61,0.62,1.85,2.17,160,520075,,,
Mar 2014,201,18.61%,171,55.26%,1.64%,17.29%,10.96%,30,15%,1,5,10,16,31%,11,10.95,23%,10,9.82,66,36,47,16.00,,31.07,158,100,186,86,0,0,58,18.84,31.86,2.64,2.33,2.00,158,520075,,,
Mar 2015,228,13.29%,194,53.43%,0.79%,21.09%,9.83%,34,15%,0,5,12,18,31%,12,12.55,24%,10,9.82,75,17,50,18.35,,31.70,152,101,198,97,0,0,51,14.68,30.99,0.48,2.60,2.23,152,520075,,,
Mar 2016,240,5.42%,205,50.23%,1.12%,23.59%,10.28%,35,15%,0,2,12,22,30%,16,15.99,25%,10,9.82,82,17,60,18.70,,41.61,170,106,215,109,0,0,64,18.28,39.10,0.56,3.16,2.62,170,520075,,,
Mar 2017,230,-4.38%,189,42.13%,15.87%,21.86%,2.53%,40,18%,1,2,13,27,27%,19,19.82,23%,10,9.82,101,17,58,18.52,,39.39,186,122,250,127,0,0,64,15.51,38.90,4.25,2.38,2.83,186,520075,,,
Mar 2018,261,13.72%,220,51.93%,1.80%,21.50%,8.86%,42,16%,2,1,13,29,31%,20,20.52,24%,10,9.82,116,18,53,18.01,,34.52,197,134,148,13,0,0,62,18.64,38.35,1.37,0.98,2.79,197,520075,,,
Mar 2019,283,8.30%,240,55.36%,2.27%,18.71%,8.37%,43,15%,2,1,12,32,34%,21,21.42,23%,10,9.82,131,22,47,16.65,,30.55,211,144,156,12,0,0,67,19.50,42.22,0.70,1.68,3.12,211,520075,,,
Mar 2020,231,-18.25%,193,48.87%,1.70%,23.33%,9.46%,38,17%,1,1,13,26,24%,20,19.96,25%,10,9.82,139,18,45,18.16,,26.74,212,141,154,13,0,0,71,27.30,38.39,0.36,2.16,3.26,212,520075,,,
TTM,189,,161,,,,,28,15%,2,1,13,17,,12,12.06,,,,,,,,,,,,,,,,,,,,,,,520075,,,
Sep 2020,,,,,,,,,,,,,,,,,,10,9.82,142,12,44,12.70,,31.02,207,135,,,0,0,72,23.13,43.26,1.11,4.42,-0.00,207,520075,,,
Jun 2009,35,-14.98%,30,46%,22%,7%,9%,6,16%,1,4,3,0,800%,-0,-0.39,-0%,11,10.72,16,57,14,4.90,,8.73,97,39,57,18,15,-0,43,24,15,0,4,-1,97,532459,,,
Jun 2010,51,46.18%,43,49%,20%,5%,8%,9,17%,0,4,3,2,33%,1,1.37,-0%,11,10.72,17,55,15,4.79,,10.40,98,51,72,21,1,-0,46,27,15,0,6,-2,98,532459,,,
Jun 2011,70,35.96%,57,52%,18%,5%,7%,13,18%,0,5,3,4,20%,3,3.00,-0%,11,10.72,20,56,20,6.19,,13.34,107,54,78,24,1,-0,52,25,18,1,8,-0,107,532459,,,
Jun 2012,83,18.32%,67,45%,24%,5%,7%,15,19%,0,7,4,5,26%,4,3.26,-0%,11,10.72,24,57,19,8.83,,10.35,111,56,84,28,0,-0,55,25,26,1,3,-0,111,532459,,,
Jun 2013,113,36.70%,98,62%,11%,4%,9%,15,13%,1,7,4,5,23%,4,3.45,-0%,11,10.72,28,62,32,14.44,,17.61,133,55,87,32,3,-0,74,31,35,2,6,-0,133,532459,,,
Jun 2014,135,19.30%,124,62%,13%,5%,13%,11,8%,1,9,4,-1,-18%,-1,-1.29,-0%,11,10.72,26,69,37,22.19,,15.23,143,55,91,36,3,-0,86,43,30,1,11,0,143,532459,,,
Mar 2015,78,-31.49%,77,66%,15%,7%,12%,1,1%,1,6,3,-7,34%,-5,-4.49,-0%,11,10.72,21,68,42,23.98,,17.58,142,53,93,39,3,-0,86,44,26,3,9,3,142,532459,,,
Mar 2016,123,58.25%,116,66%,15%,6%,7%,6,5%,1,1,5,2,-10%,2,1.59,-0%,11,10.72,22,70,29,19.10,,10.12,132,52,97,45,0,-0,80,37,34,2,4,3,132,532459,,,
Mar 2017,120,-1.96%,109,70%,9%,7%,5%,11,9%,0,5,4,2,-48%,3,2.44,-0%,11,10.72,25,65,21,17.03,,3.66,121,50,98,48,0,-0,71,32,33,2,7,-4,121,532459,,,
Mar 2018,124,2.71%,133,76%,23%,7%,3%,-10,-8%,0,4,4,-18,-0%,-18,-17.04,-0%,11,10.72,6,71,11,7.54,,3.71,99,46,97,51,2,-0,51,17,33,0,5,-4,99,532459,,,
Mar 2019,139,12.46%,143,64%,30%,6%,3%,-4,-3%,0,5,4,-14,17%,-11,-10.56,-0%,11,10.72,-5,72,27,14.34,,12.44,105,48,101,53,0,-0,57,17,35,0,6,-2,105,532459,,,
Mar 2020,161,16.21%,144,50%,30%,6%,3%,17,10%,1,5,5,8,-7%,9,8.41,-0%,11,10.72,15,57,32,16.94,,14.66,114,52,109,56,0,-0,61,17,40,0,6,-3,114,532459,,,
TTM,133,,117,,,,,17,13%,1,4,5,9,,9,8.58,,,,,,,,,,,,,,,,,,,,,,,532459,,,
Sep 2020,,,,,,,,,,,,,,,,,,11,10.72,20,37,52,33.29,,18.24,120,52,,,-0,-0,68,12,50,0,0,5,120,532459,,,
