,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2020,47.36,-9.48%,44.81,71%,0%,16%,7%,2.55,5.38%,0.13,1.61,0.79,0.28,-64.29%,0.46,0.44,0.00%,10.54,10.54,-0.26,10.21,16.50,11.28,,5.22,36.99,12.78,,,0.00,0.00,24.21,15.43,4.87,0.60,0.11,3.20,36.99,517236,,,
TTM,34.56,,34.91,,,,,-0.35,-1.01%,0.07,1.45,0.86,-2.59,,-2.41,-2.29,,,,,,,,,,,,,,,,,,,,,,,517236,,,
Sep 2020,,,,,,,,,,,,,,,,,,10.54,10.54,-1.48,12.21,17.09,12.68,,4.41,38.36,13.30,,,0.18,0.00,24.88,13.75,6.87,1.36,0.11,2.79,38.36,517236,,,
Mar 2012,2300,,1909,66%,13%,2%,3%,391,17%,77,6,21,441,30%,308,43.73,14%,35,35.27,2721,87,379,150,15,214,3222,1329,1640,311,14,520,1360,722,361,23,198,56,3222,500265,0.00,,
Mar 2013,1729,-24.81%,1558,70%,15%,3%,2%,172,10%,71,7,38,197,23%,152,21.61,28%,35,35.27,2779,151,276,42,15,219,3241,1260,1649,389,150,740,1091,514,318,13,159,86,3241,500265,0.00,,
Mar 2014,1209,-30.10%,1120,71%,15%,3%,3%,89,7%,64,5,37,111,13%,102,14.78,40%,34,34.14,2765,138,352,147,5,200,3288,1231,1689,458,34,834,1189,435,338,36,300,80,3288,500265,0.00,,
Mar 2015,1355,12.06%,1249,70%,16%,3%,3%,105,8%,74,20,31,129,29%,118,17.57,28%,171,33.50,2763,779,451,73,5,373,4026,1472,2006,534,37,1373,1143,490,298,40,289,27,4026,500265,137.70,,
Mar 2016,1019,-24.80%,980,73%,16%,5%,3%,38,4%,57,26,71,-2,-1521%,-24,-3.63,-69%,96,33.50,2549,602,499,132,4,362,3684,1121,1724,603,31,1444,1088,499,267,6,268,48,3684,500265,62.59,,
Mar 2017,1434,40.79%,1209,64%,14%,4%,3%,225,16%,76,34,71,196,41%,123,18.41,27%,96,33.50,2650,640,532,139,14,380,3856,1095,1769,674,119,1529,1113,484,309,7,278,34,3856,500265,62.59,,
Mar 2018,2150,49.92%,1839,66%,15%,3%,2%,311,14%,99,42,76,292,31%,211,31.45,19%,34,33.50,2896,626,483,130,8,345,4039,1235,1998,763,17,1461,1326,510,392,17,383,24,4039,500265,0.00,,
Mar 2019,3052,41.93%,2392,62%,12%,2%,2%,660,22%,-108,39,80,433,53%,234,34.96,17%,34,33.50,3037,1059,666,274,25,367,4795,1173,2016,843,23,1276,2322,771,492,61,974,23,4795,500265,0.00,,
Mar 2020,2645,-13.34%,2153,61%,13%,3%,4%,491,19%,-179,64,88,161,29%,84,12.52,20%,34,33.50,3171,1145,889,572,19,299,5239,2364,3651,1156,29,1007,1840,762,361,86,638,-7,5239,500265,0.00,,
TTM,2196,,1774,,,,,422,19%,-182,60,106,73,,-76,-11.31,,,,,,,,,,,,,,,,,,,,,,,500265,,,
Sep 2020,,,,,,,,,,,,,,,,,,34,33.50,3270,1059,780,437,,343,5143,2297,,,31,1371,1444,652,326,6,220,240,5143,500265,,,
Mar 2013,80,,71,,5%,69%,15%,8,11%,1,2,1,7,34%,4,139.68,14%,3,3.10,17,12,12,8.08,,3.74,43,10,14.03,4.52,0,1,33,0.07,22.01,2.87,1.17,7.13,43,NSE : AARVI,,0.09,
Mar 2014,99,23.56%,88,,7%,66%,16%,10,10%,1,1,1,8,43%,5,152.58,13%,3,3.10,21,11,14,9.89,,4.19,49,9,14.95,5.55,0,0,39,0.00,29.67,3.76,0.73,5.28,49,NSE : AARVI,,0.12,
Mar 2015,115,16.82%,103,,10%,67%,12%,12,10%,0,1,1,10,34%,6,207.10,10%,3,3.10,26,9,14,10.30,,3.82,53,9,15.52,6.58,0,0,44,0.00,31.53,3.76,1.81,6.59,53,NSE : AARVI,,0.12,
Mar 2016,110,-4.33%,105,,8%,72%,16%,5,5%,1,1,1,4,31%,3,81.61,25%,3,3.10,27,9,12,8.31,,3.58,52,7,15.86,8.41,0,0,44,0.00,27.61,2.26,1.26,13.14,52,NSE : AARVI,,0.00,
Mar 2017,153,39.06%,144,,84%,8%,2%,9,6%,0,2,1,7,25%,5,172.90,0%,3,3.10,32,15,17,13.14,,3.99,67,7,16.61,9.30,0,0,60,0.00,35.53,6.65,2.83,14.88,67,NSE : AARVI,,0.00,
Mar 2018,173,13.24%,164,,88%,5%,2%,10,6%,2,1,1,10,19%,8,5.26,10%,15,14.78,48,4,16,8.81,,7.32,83,7,16.41,9.74,0,0,76,0.00,41.01,8.73,2.81,23.42,83,NSE : AARVI,,0.00,
Mar 2019,206,18.77%,195,,0%,69%,25%,11,6%,1,1,1,10,15%,9,5.84,17%,15,14.78,55,8,28,4.17,,23.70,106,12,22.61,10.22,0,0,94,0.00,48.75,4.79,5.70,34.48,106,NSE : AARVI,,0.00,
Mar 2020,218,5.83%,209,,0%,67%,29%,9,4%,1,2,1,7,-3%,7,4.86,21%,15,14.78,62,10,32,9.49,,22.44,118,11,18.47,7.08,0,0,106,0.00,58.03,6.48,6.39,35.12,118,NSE : AARVI,,0.00,
TTM,214,,203,,,,,12,5%,1,1,1,10,,10,6.80,,,,,,,,,,,,,,,,,,,,,,,NSE : AARVI,,,
Sep 2020,,,,,,,,,,,,,,,,,,15,14.78,65,0,25,6.98,,18.39,105,10,,,0,0,94,0.00,34.72,10.26,12.21,36.72,105,NSE : AARVI,,0.00,
Mar 2017,16.30,,12.08,58%,1%,8%,8%,4.22,25.89%,0.28,1.00,0.18,3.32,35.24%,2.14,,0.00%,0.02,0.02,6.06,5.49,15.95,0.97,3.41,11.57,27.52,0.42,1.03,0.61,0.04,1.45,25.61,12.95,0.00,0.40,9.40,2.86,27.52,543218,,,
Mar 2018,10.83,-33.56%,6.38,34%,0%,17%,8%,4.45,41.09%,0.36,0.41,0.14,4.26,33.33%,2.84,,0.00%,0.02,0.02,8.90,4.20,18.04,1.30,3.07,13.67,31.16,0.64,1.39,0.75,0.04,0.39,30.09,19.24,0.00,0.29,8.59,1.97,31.16,543218,,,
Mar 2019,8.97,-17.17%,6.22,-22%,59%,18%,14%,2.75,30.66%,0.17,1.39,0.22,1.31,41.98%,0.76,,0.00%,8.93,8.93,0.77,15.80,18.86,4.14,0.00,14.72,44.36,0.64,1.61,0.97,0.00,1.53,42.19,25.89,4.08,0.14,9.18,2.90,44.36,543218,,,
Mar 2020,10.75,19.84%,7.29,-39%,76%,17%,14%,3.46,32.19%,-0.03,2.73,0.20,0.50,10.00%,0.45,,0.00%,12.74,12.74,1.22,24.10,15.77,1.05,0.00,14.72,53.83,0.61,1.76,1.15,0.00,2.09,51.13,31.68,5.70,0.51,10.05,3.19,53.83,543218,,,
Sep 2009,266,-64%,234,68%,8%,9%,3%,32,12%,4,5,18,13,24%,10,6.39,42%,15,15.11,160,45,78,52,1,26,298,145,276,130,7,0,146,60,67,9,10,0,298,505010,,,
Sep 2010,668,151%,581,71%,9%,6%,1%,87,13%,4,4,21,66,33%,44,29.16,29%,15,15.11,189,71,101,59,1,40,375,133,281,149,8,0,234,90,124,9,11,0,375,505010,,,
Sep 2011,1012,52%,896,72%,10%,5%,2%,117,12%,0,7,23,87,34%,58,38.08,26%,15,15.11,229,62,185,140,1,44,491,146,317,171,4,0,341,110,191,11,15,13,491,505010,,,
Sep 2012,941,-7%,838,71%,10%,6%,2%,102,11%,1,10,27,67,32%,45,29.79,34%,15,15.11,256,56,167,108,0,59,494,176,361,185,19,0,300,94,159,2,32,12,494,505010,,,
Sep 2013,643,-32%,589,71%,10%,8%,2%,54,8%,2,9,29,19,32%,13,8.40,24%,15,15.11,265,51,94,62,0,31,425,183,396,213,7,0,235,89,114,1,22,9,425,505010,,,
Sep 2014,677,5%,620,69%,11%,9%,3%,57,8%,6,7,29,26,30%,18,12.03,21%,15,15.11,279,92,139,84,14,41,525,166,406,240,23,0,336,114,172,1,39,9,525,505010,,,
Mar 2015,459,-29%,424,71%,10%,8%,3%,35,8%,3,4,17,16,36%,11,6.97,14%,15,15.11,287,62,156,123,3,30,521,177,434,257,17,0,327,116,176,4,25,7,521,505010,,,
Mar 2016,1086,136%,990,72%,9%,7%,2%,96,9%,1,6,39,52,33%,35,23.01,24%,15,15.11,312,30,169,124,2,43,526,168,458,290,9,0,349,112,198,0,30,8,526,505010,,,
Mar 2017,1172,8%,1059,70%,10%,7%,3%,114,10%,2,1,39,75,34%,49,32.70,24%,15,15.11,361,0,189,169,3,18,566,146,185,39,7,0,413,101,231,35,32,13,566,505010,,,
Mar 2018,1520,30%,1353,70%,10%,7%,2%,167,11%,5,1,43,128,34%,84,55.54,24%,15,15.11,429,0,290,256,5,29,734,118,199,81,17,0,600,137,335,44,63,21,734,505010,,,
Mar 2019,1939,28%,1710,69%,10%,6%,2%,229,12%,3,1,46,185,34%,122,80.43,24%,15,15.11,523,73,322,258,8,56,933,109,236,127,116,0,709,184,346,40,88,50,933,505010,,,
Mar 2020,952,-51%,859,68%,10%,9%,3%,93,10%,6,2,37,60,31%,41,27.22,25%,15,15.11,517,35,161,115,3,43,728,255,413,157,24,0,449,156,123,74,67,30,728,505010,,,
TTM,542,,518,,,,,23,4%,5,3,37,-11,,-7,-4.47,,,,,,,,,,,,,,,,,,,,,,,505010,,,
Sep 2020,,,,,,,,,,,,,,,,,,15,15.11,499,28,192,131,,61,734,247,,,33,0,454,149,96,116,25,68,734,505010,,,
Mar 2008,3,310.59%,3,54%,8%,7%,7%,1,24%,0,1,0,0,3%,0,0.41,0%,4,3.55,-7,24,1,1.19,0.00,0.13,22,2,9.63,7.15,0,0,19,0.13,16.19,0.08,2.91,0.00,22,513291,,,
Mar 2009,0,-100.00%,2,,,,,-2,,13,1,0,11,0%,11,14.80,0%,4,3.55,3,10,1,1.27,0.00,0.09,18,2,9.63,7.56,0,0,16,0.03,14.41,0.06,1.90,0.00,18,513291,,,
Mar 2010,8,,15,96%,11%,3%,85%,-7,-95%,12,1,0,4,0%,4,4.93,0%,4,3.55,7,7,4,2.88,0.00,1.13,21,3,11.31,8.01,1,0,17,5.95,6.64,0.07,4.45,0.00,21,513291,,,
Mar 2011,39,392.35%,37,83%,3%,1%,9%,1,3%,0,1,0,0,14%,0,0.34,0%,4,3.55,7,10,4,1.18,0.00,2.41,24,5,13.36,8.57,1,0,18,6.98,4.03,0.02,1.56,5.08,24,513291,,,
Mar 2012,20,-48.58%,19,86%,3%,2%,2%,1,6%,1,1,0,0,21%,0,0.21,0%,4,3.55,7,11,2,1.73,0.00,0.60,24,5,14.56,9.18,0,0,19,2.61,3.05,0.55,6.22,6.20,24,513291,,,
Mar 2013,30,49.12%,29,88%,3%,1%,4%,1,3%,1,1,0,0,-4%,0,0.38,0%,4,3.55,7,10,3,2.40,0.00,0.85,24,5,14.59,9.80,0,0,19,2.27,5.60,0.75,6.54,3.63,24,513291,,,
Mar 2014,29,-0.47%,29,90%,3%,1%,4%,0,2%,1,1,0,0,20%,0,0.39,0%,4,3.55,7,8,3,2.27,0.00,0.66,21,4,14.65,10.42,0,0,17,1.63,4.38,1.30,7.68,2.00,21,513291,,,
Mar 2015,34,15.34%,33,92%,2%,1%,1%,1,4%,1,1,0,0,31%,0,0.38,0%,4,3.55,7,10,3,1.91,0.00,0.81,23,4,14.65,10.86,0,0,19,2.58,4.38,0.86,9.18,2.15,23,513291,,,
Mar 2016,31,-8.15%,30,91%,2%,2%,1%,1,5%,1,1,0,0,30%,0,0.42,0%,4,3.55,7,10,2,1.60,0.00,0.82,23,4,14.74,11.17,0,0,20,1.93,6.79,1.01,7.69,2.13,23,513291,,,
Mar 2017,41,31.98%,40,90%,3%,3%,2%,1,3%,1,1,0,0,44%,0,0.32,0%,4,3.55,8,19,8,4.50,2.10,1.03,38,6,17.24,11.53,0,0,32,13.44,9.36,1.18,6.62,1.24,38,513291,,,
Mar 2018,140,239.89%,136,90%,3%,2%,3%,4,3%,1,2,1,1,27%,1,1.44,0%,4,3.55,9,23,10,5.74,2.17,1.77,45,7,19.48,12.07,0,0,38,15.69,13.05,0.29,7.10,1.64,45,513291,,,
Mar 2019,143,1.85%,138,89%,3%,3%,2%,4,3%,0,3,1,1,31%,1,1.38,0%,4,3.55,10,26,15,9.47,2.90,2.28,54,7,20.03,12.71,0,0,47,15.89,11.40,1.70,16.41,1.25,54,513291,,,
TTM,74,,83,,,,,-9,-12%,0,3,1,-12,,-12,-17.27,,,,,,,,,,,,,,,,,,,,,,,513291,,,
Sep 2019,,,,,,,,,,,,,,,,,,4,,10,27,12,8.44,,3.35,52,7,,,0,0,45,15.59,10.32,0.25,1.44,17.61,52,513291,,,
Mar 2009,151101,10.30%,127894,74%,6%,2%,2%,23206,15%,2130,1816,5651,17869,16%,14969,22.29,12%,1444,1375,119813,76257,48631,16689,,31804,246075,107044,157182,50138,73846,6436,58750,20110,4845,22742,12146,-1093,246075,500325,,139,
Mar 2010,203174,34.46%,172271,76%,5%,1%,2%,30902,15%,10783,2060,10946,28680,15%,24503,35.12,9%,2978,2978,138025,64606,53837,29148,,24115,259445,160191,224125,63934,17034,13112,69108,34393,10083,13891,11764,-1023,259445,500325,,574,
Mar 2011,265050,30.46%,226427,77%,4%,1%,3%,38623,15%,1964,2411,14121,24055,20%,19294,27.63,12%,2981,2981,151112,84152,69274,36107,,32365,307519,158100,238293,80193,28174,21596,99649,38520,15696,30139,9862,5432,307519,500325,,802,
Mar 2012,357677,34.95%,323169,83%,3%,1%,3%,34508,10%,6194,2893,12401,25408,22%,19724,28.27,13%,2979,2979,166466,92447,65299,40368,,24132,327191,138814,233475,94661,25363,38596,124418,46692,16939,40731,16083,3973,327191,500325,,799,
Mar 2013,395957,10.70%,362912,84%,4%,1%,3%,33045,8%,7867,3463,11232,26217,20%,20879,30.31,13%,2936,2936,179094,107219,73108,49700,,22459,362357,133487,240971,107484,49952,42848,136070,54601,9750,50456,15332,5931,362357,500325,,949,
Mar 2014,433521,9.49%,398722,84%,4%,1%,3%,34799,8%,9001,3836,11201,28763,22%,22493,32.62,12%,2940,2940,195730,138761,91412,60860,,29593,428843,141417,261019,119602,91494,60602,135330,56720,9411,37984,17576,13639,428843,500325,,959,
Mar 2015,374372,-13.64%,337008,79%,6%,2%,4%,37364,10%,8613,3316,11547,31114,24%,23566,34.14,12%,2943,2943,215539,168251,117753,59407,,55308,504486,156458,288866,132408,166462,76451,105115,53248,5315,12545,21464,12543,504486,500325,,3038,
Mar 2016,272583,-27.19%,230845,69%,7%,3%,6%,41738,15%,12255,3691,11565,38737,23%,29745,43.03,10%,2948,2948,228600,194714,172735,60296,,109083,598997,184910,335499,150589,228697,84015,101375,46486,4465,11028,25520,13876,598997,500325,,3356,
Mar 2017,303954,11.51%,257647,70%,7%,3%,5%,46307,15%,9222,3849,11646,40034,25%,29901,43.11,11%,2959,2959,260746,217475,225622,76595,,146110,706802,198526,361293,162767,324837,82899,100540,48951,8177,3023,36134,4255,706802,500325,,2917,
Mar 2018,390823,28.58%,326508,68%,6%,2%,6%,64315,16%,9869,8052,16706,49426,27%,36075,53.39,10%,5922,5922,287569,239843,277939,106861,,167539,811273,403885,581284,177399,187022,82862,137504,60837,17555,4255,64062,-9205,811273,500325,,3539,
Mar 2019,568337,45.42%,484087,69%,5%,2%,8%,84250,15%,8406,16495,20934,55227,28%,39588,58.55,10%,5926,5926,381184,307714,302806,108309,,186217,997630,398374,596522,198148,179463,235635,184158,67561,30089,11081,73672,1755,997630,500325,,8280,
Mar 2020,595887,4.85%,507413,68%,4%,2%,10%,88474,15%,9362,22027,22203,53606,26%,39354,58.20,10%,6339,6339,446991,355133,354552,96799,,249737,1163015,532658,743788,211130,109106,276767,244484,73903,19656,30920,87280,32725,1163015,500325,,8016,
TTM,489160,,408709,,,,,80451,16%,16929,24287,24811,48282,,40788,62.56,,,,,,,,,,,,,,,,,,,,,,,500325,,,
Sep 2020,,,,,,,,,,,,,,,,,,6445,6445,606977,255241,357986,72966,,235015,1226649,590588,,,66680,346324,223057,76390,15636,15874,20692,94465,1226649,500325,,50005,
Mar 2009,4.58,23%,3.97,70%,4%,7%,6%,0.61,13.32%,0.07,0.03,0.25,0.40,0.00%,0.40,,0.00%,3.01,3.01,0.79,0.02,0.97,0.80,,0.17,4.79,1.09,3.31,2.22,0.00,0.45,3.25,0.53,1.14,1.33,0.25,0.00,4.79,524400,,,
Mar 2010,6.06,32%,5.45,75%,4%,6%,5%,0.61,10.07%,0.18,0.04,0.19,0.56,30.36%,0.39,,0.00%,3.01,3.01,1.05,0.07,1.96,1.55,,0.41,6.09,1.01,3.39,2.38,0.00,0.50,4.58,1.89,1.09,1.27,0.33,0.00,6.09,524400,,,
Mar 2011,8.83,46%,8.22,70%,14%,5%,5%,0.61,6.91%,0.07,0.02,0.07,0.59,33.90%,0.39,,0.00%,2.99,2.99,1.45,0.32,2.41,2.20,,0.21,7.17,0.98,3.41,2.43,0.02,1.35,4.82,1.32,2.64,0.62,0.19,0.05,7.17,524400,,,
Mar 2012,5.36,-39%,5.09,68%,12%,9%,5%,0.27,5.04%,0.15,0.03,0.08,0.31,32.26%,0.21,0.70,0.00%,2.99,2.99,1.66,0.05,0.73,0.57,,0.16,5.43,0.96,3.47,2.51,0.02,1.67,2.78,0.67,1.08,0.94,0.06,0.03,5.43,524400,,,
Mar 2013,11.76,119%,11.22,74%,12%,4%,5%,0.54,4.59%,0.19,0.03,0.09,0.61,32.79%,0.42,1.40,0.00%,2.99,2.99,2.08,0.19,2.73,2.46,,0.27,7.99,1.17,3.77,2.60,0.03,1.21,5.58,1.29,2.83,1.12,0.27,0.07,7.99,524400,,,
Mar 2014,7.34,-38%,6.89,66%,13%,8%,7%,0.45,6.13%,0.00,0.03,0.12,0.30,33.33%,0.20,0.67,0.00%,2.99,2.99,2.28,0.19,1.15,0.92,,0.23,6.61,1.36,4.05,2.69,0.00,1.45,3.80,0.97,1.05,1.44,0.30,0.04,6.61,524400,,,
Mar 2015,7.54,3%,7.23,69%,12%,9%,6%,0.31,4.11%,0.17,0.04,0.15,0.29,24.14%,0.22,0.74,0.00%,2.99,2.99,2.50,0.09,1.37,1.12,,0.25,6.95,1.26,4.11,2.85,0.00,1.82,3.87,1.31,1.25,1.14,0.12,0.05,6.95,524400,,,
Mar 2016,7.10,-6%,6.82,71%,11%,9%,5%,0.28,3.94%,0.13,0.06,0.15,0.20,30.00%,0.14,0.47,0.00%,2.99,2.99,2.64,1.13,1.43,1.26,,0.17,8.19,1.11,4.11,3.00,0.00,2.15,4.93,0.77,1.88,2.19,0.03,0.06,8.19,524400,,,
Mar 2017,6.44,-9%,6.08,62%,15%,11%,7%,0.36,5.59%,0.08,0.04,0.14,0.26,30.77%,0.18,0.60,0.00%,2.99,2.99,2.82,0.01,1.37,1.18,,0.19,7.19,1.02,4.16,3.14,0.00,2.70,3.47,0.56,1.70,1.11,0.05,0.05,7.19,524400,,,
Mar 2018,6.90,7%,6.45,69%,7%,12%,6%,0.45,6.52%,0.12,0.11,0.14,0.32,25.00%,0.25,0.84,0.00%,2.99,2.99,3.07,0.13,0.97,0.56,,0.41,7.16,1.19,4.46,3.28,0.00,3.15,2.82,0.72,0.82,1.20,0.03,0.05,7.16,524400,,,
Mar 2019,9.09,32%,8.57,70%,7%,11%,6%,0.52,5.72%,0.16,0.06,0.16,0.46,26.09%,0.35,1.17,0.00%,2.99,2.99,3.42,0.20,1.73,1.38,,0.35,8.34,1.30,4.73,3.43,0.00,4.04,3.00,0.74,1.18,1.01,0.02,0.05,8.34,524400,,,
Mar 2020,14.83,63%,14.07,77%,5%,7%,5%,0.76,5.12%,0.16,0.03,0.18,0.71,23.94%,0.55,1.84,0.00%,2.99,2.99,3.97,0.29,2.15,1.89,,0.26,9.40,1.14,4.75,3.61,0.00,5.29,2.97,0.58,1.31,1.00,0.03,0.05,9.40,524400,,,
TTM,13.45,,12.67,,,,,0.78,5.80%,0.16,0.04,0.18,0.72,,0.53,1.77,,,,,,,,,,,,,,,,,,,,,,,524400,,,
Sep 2020,,,,,,,,,,,,,,,,,,2.99,2.99,4.21,0.16,1.21,0.73,,0.48,8.57,1.05,,,0.00,3.07,4.45,0.88,2.46,1.03,0.00,0.08,8.57,524400,,,
Mar 2006,7.48,,6.43,40%,27%,10%,9%,1.05,14.04%,0.07,0.09,0.14,0.89,25.84%,0.66,,21.36%,2.35,2.35,0.72,1.74,0.98,0.49,,0.49,5.79,0.99,1.32,0.33,0.03,0.54,4.23,0.17,1.33,0.64,1.08,1.01,5.79,512175,,,
Mar 2007,7.39,-1.20%,6.76,62%,0%,16%,13%,0.63,8.53%,0.13,0.13,0.25,0.38,36.84%,0.24,0.07,58.67%,7.04,7.04,0.80,0.10,2.10,1.30,,0.80,10.04,1.63,2.21,0.58,0.00,0.54,7.87,0.46,1.58,3.22,1.73,0.88,10.04,512175,,,
Mar 2008,7.21,-2.44%,6.39,42%,1%,23%,23%,0.82,11.37%,0.05,0.10,0.37,0.40,35.00%,0.26,0.07,54.15%,7.04,7.04,0.90,0.22,1.12,0.31,,0.81,9.28,4.29,5.24,0.95,0.00,0.54,4.45,0.03,1.55,1.04,1.24,0.59,9.28,512175,,,
Mar 2009,8.07,11.93%,6.99,33%,1%,33%,20%,1.08,13.38%,0.19,0.04,0.80,0.43,39.53%,0.26,0.07,54.15%,7.04,7.04,1.00,0.17,1.04,0.27,,0.77,9.25,5.20,6.96,1.76,0.00,0.54,3.51,0.04,1.94,0.65,0.57,0.31,9.25,512175,,,
Mar 2010,8.92,10.53%,7.36,21%,1%,33%,28%,1.56,17.49%,0.03,0.16,1.05,0.38,15.79%,0.32,0.09,44.00%,7.04,7.04,1.16,0.33,1.69,0.99,,0.70,10.22,4.21,7.02,2.81,0.00,0.54,5.47,0.70,2.76,0.79,1.19,0.03,10.22,512175,,,
Mar 2011,10.03,12.44%,8.57,43%,1%,27%,15%,1.46,14.56%,0.01,0.23,1.02,0.22,4.55%,0.21,0.06,67.05%,7.04,7.04,1.20,0.53,2.62,2.02,,0.60,11.39,3.38,7.18,3.80,0.44,0.54,7.03,0.87,4.24,0.62,1.30,0.00,11.39,512175,,,
Mar 2017,61.12,,55.38,78%,0%,6%,6%,5.74,9.39%,0.23,1.90,0.23,3.84,27.86%,2.77,0.53,18.97%,10.51,10.51,6.87,11.02,53.72,50.07,,3.65,82.12,4.32,5.95,1.63,0.00,0.00,77.80,33.16,32.54,6.74,2.67,2.69,82.12,512175,,,
Mar 2018,103.55,69.42%,96.36,87%,0%,4%,2%,7.19,6.94%,0.70,1.85,0.32,5.72,29.20%,4.04,0.77,13.01%,10.51,10.51,10.28,5.62,25.39,20.53,,4.86,51.80,4.16,6.11,1.95,0.00,1.23,46.41,8.00,26.48,5.08,4.35,2.50,51.80,512175,,,
Mar 2019,53.79,-48.05%,52.54,77%,0%,9%,11%,1.25,2.32%,0.94,3.36,0.34,-1.51,-5.30%,-1.60,-0.30,-6.57%,10.51,10.51,8.46,8.29,23.96,17.80,,6.16,51.22,3.85,6.14,2.29,0.00,0.00,47.37,13.34,17.35,8.85,6.12,1.71,51.22,512175,,,
Mar 2020,30.00,-44.23%,27.59,71%,0%,15%,7%,2.41,8.03%,0.96,2.39,0.32,0.66,27.27%,0.48,0.09,0.00%,10.51,10.51,8.81,10.59,14.93,10.46,,4.47,44.84,4.41,,,0.00,0.00,40.43,13.13,11.17,7.19,3.25,5.69,44.84,512175,,,
TTM,25.95,,23.50,,,,,2.45,9.44%,0.71,1.84,0.36,0.96,,0.76,0.15,,,,,,,,,,,,,,,,,,,,,,,512175,,,
Sep 2020,,,,,,,,,,,,,,,,,,10.51,10.51,10.36,10.57,12.42,7.17,,5.25,43.86,4.21,,,0.00,0.00,39.65,9.17,12.67,7.25,4.24,6.32,43.86,512175,,,
Mar 2018,100,,104,86%,14%,2%,2%,-4,-4%,11,2,2,4,49%,2,2.74,0%,7,7.00,7,16,8,3.18,3.70,1.52,39,9,17.39,8.24,0,0,30,0.88,24.54,0.32,3.13,0.65,39,542012,,,
Mar 2019,141,40.85%,143,87%,10%,2%,2%,-2,-2%,9,1,0,6,25%,4,4.18,0%,10,10.00,25,15,4,1.18,1.10,1.38,53,14,22.74,8.25,0,0,38,0.67,26.87,0.44,7.75,2.55,53,542012,,,
Mar 2020,121,-13.84%,128,86%,13%,2%,5%,-7,-6%,12,1,0,4,24%,3,3.10,0%,10,10.00,28,8,4,0.27,1.19,2.83,50,12,21.77,9.60,0,0,38,1.10,25.91,0.57,7.90,2.40,50,542012,,,
Mar 2018,46.97,,43.50,89.16%,0.09%,0.70%,2.66%,3.47,7.39%,0.04,1.39,0.10,2.02,32.67%,1.36,1.60,0.00%,8.50,8.50,14.61,10.40,1.44,0.01,,1.43,34.95,3.35,4.16,0.82,0.00,3.99,27.61,,,0.34,21.50,5.77,34.95,538778,,,
Mar 2019,4.15,-91.16%,1.10,0.00%,4.58%,8.43%,13.49%,3.05,73.49%,0.86,1.56,0.11,2.24,21.88%,1.75,2.06,0.00%,8.50,8.50,16.52,11.26,1.25,0.00,,1.25,37.53,3.44,3.44,0.00,0.00,4.41,29.68,,,0.27,1.53,27.88,37.53,538778,,,
Mar 2020,4.33,4.34%,1.20,0.00%,4.39%,9.47%,13.86%,3.13,72.29%,0.91,1.18,0.11,2.75,19.27%,2.22,2.61,0.00%,8.50,8.50,18.79,10.13,1.57,0.00,,1.57,38.99,2.69,2.69,0.00,0.00,1.72,34.58,,,0.67,1.70,32.21,38.99,538778,,,
TTM,4.49,,1.11,,,,,3.38,75.28%,0.82,1.18,0.10,2.92,,2.28,2.68,,,,,,,,,,,,,,,,,,,,,,,538778,,,
Sep 2020,,,,,,,,,,,,,,,,,,8.50,8.50,19.65,10.72,0.64,0.00,,0.64,39.51,2.63,,,0.00,0.00,36.88,,,0.06,35.48,1.34,39.51,538778,,,
Mar 2009,1232,24.23%,1089,29.58%,33.41%,7.03%,18.43%,142,12%,8,132,117,-98,57%,-42,-1.74,-0%,16,15.99,181,1659,286,195,37,54,2142,1410,2124,714,42,6,684,355,175,18,256,-120,2142,515030,,-0,
Mar 2010,1287,4.52%,1059,30.51%,31.34%,7.29%,13.13%,228,18%,34,134,129,-2,184%,2,0.08,-0%,16,15.99,183,1498,222,166,13,44,1919,1226,2068,842,54,7,632,323,176,16,231,-115,1919,515030,,-1,
Mar 2011,1558,21.01%,1295,29.66%,30.55%,7.79%,15.13%,263,17%,17,129,123,28,40%,17,0.69,-0%,16,15.99,200,1552,296,201,10,85,2063,1174,2137,962,87,7,794,390,223,27,201,-48,2063,515030,,-0,
Mar 2012,1681,7.93%,1506,30.28%,34.98%,8.52%,15.82%,175,10%,11,148,132,-95,30%,-65,-2.68,-0%,16,15.99,123,1579,542,357,69,117,2260,1318,2410,1092,23,12,907,485,263,18,199,-58,2260,515030,,-1,
Mar 2013,1944,15.65%,1777,33.57%,36.67%,8.40%,12.75%,167,9%,10,170,154,-147,33%,-98,-4.01,-0%,16,15.99,24,1546,749,519,63,169,2335,1237,2481,1245,33,13,1052,484,306,62,248,-48,2335,515030,,-2,
