,Sales-,Sales Growth %,Expenses-,Material Cost %,Manufacturing Cost %,Employee Cost %,Other Cost %,Operating Profit,OPM %,Other Income,Interest,Depreciation,Profit before tax,Tax %,Net Profit,EPS in Rs,Dividend Payout %,Share Capital-,Equity Capital,Reserves,Borrowings,Other Liabilities-,Trade Payables,Advance from Customers,Other liability items,Total Liabilities,Fixed Assets-,Gross Block,Accumulated Depreciation,CWIP,Investments,Other Assets-,Inventories,Trade receivables,Cash Equivalents,Loans n Advances,Other asset items,Total Assets,company_id,Preference Capital,Non controlling int,Other Assets+
Mar 2009,6507,16.84%,4792,11.65%,37.27%,3.40%,21.33%,1716,26%,102,126,324,1368,28%,978,,6%,124,124,3485,2143,1997,746,78,1166,7750,4662,7437,2775,678,1009,1400,706,197,105,411,-18,7750,532538,,7,
Mar 2010,7106,9.21%,5122,15.68%,30.33%,3.62%,22.45%,1984,28%,121,118,390,1598,31%,1095,,7%,124,124,4493,1607,2150,683,92,1368,8375,4964,8111,3147,260,1637,1513,827,210,112,389,-24,8375,532538,,8,
Mar 2011,13646,92.03%,10950,15.11%,34.04%,5.30%,25.79%,2696,20%,154,292,813,1745,22%,1367,49.90,12%,274,274,10373,5541,5439,1830,0,3544,21626,12775,19549,6774,760,3514,4577,2095,825,190,1068,399,21626,532538,,66,
Mar 2012,18551,35.94%,14357,15.48%,34.85%,4.93%,22.14%,4194,23%,371,256,963,3345,28%,2403,87.69,9%,274,274,12550,5891,6181,2207,0,3912,24896,13314,21014,7700,1940,3547,6095,2198,1089,214,1218,1375,24896,532538,,62,
Mar 2013,20514,10.58%,15674,15.93%,32.68%,5.23%,22.56%,4839,24%,304,252,1023,3867,30%,2678,97.66,9%,274,274,14955,7342,7010,2312,0,4620,29582,15050,23730,8681,3601,4709,6222,2541,1376,185,1248,873,29582,532538,,78,
Mar 2014,20730,1.06%,16695,18.08%,32.63%,5.43%,24.40%,4035,19%,322,361,1139,2858,23%,2206,80.44,11%,274,274,16908,7332,7671,2591,0,5063,32185,18100,27854,9754,2186,4862,7037,2580,1632,348,1408,1068,32185,532538,,17,
Mar 2015,23306,12.43%,18881,17.38%,30.14%,5.71%,27.79%,4425,19%,350,587,1203,2986,30%,2098,76.47,12%,274,274,18767,9829,9183,1711,0,7454,38053,23343,34910,11567,2250,4500,7961,2949,1659,371,1542,1440,38053,532538,,18,
Mar 2016,25153,7.93%,20252,17.56%,25.89%,5.83%,31.23%,4901,19%,464,566,1377,3421,28%,2478,90.30,11%,274,274,21671,10616,8631,1717,166,6733,41193,25309,26611,1302,1469,5095,9319,2455,1928,2267,2774,-104,41193,532538,,15,
Mar 2017,25375,0.88%,20162,17.70%,24.68%,6.10%,30.97%,5212,21%,648,640,1348,3872,30%,2715,98.90,10%,275,275,24117,8474,9343,1849,196,7288,42209,25904,28498,2594,921,6691,8693,2401,1757,2249,2695,-408,42209,532538,,10,
Mar 2018,30979,22.08%,24948,17.07%,27.84%,5.91%,29.71%,6030,19%,357,1238,1848,3301,33%,2222,80.92,13%,275,275,26107,19480,11280,2385,305,8574,57141,39715,44082,4366,1511,5447,10468,3268,2221,219,3272,1488,57141,532538,,16,
Mar 2019,41462,33.84%,34229,16.84%,30.00%,5.57%,30.15%,7233,17%,464,1778,2451,3468,31%,2404,87.51,13%,275,275,28088,25337,22826,3160,357,19297,76525,56645,63382,6737,1153,2921,15806,4099,2787,740,4598,3582,76525,532538,,12,
Mar 2020,41833,0.90%,32551,15.09%,27.50%,6.01%,29.21%,9282,22%,648,1986,2702,5242,-11%,5815,201.47,6%,289,289,38827,22898,17318,3501,464,13345,79331,56982,66354,9372,920,5929,15500,4148,2238,539,4151,4424,79331,532538,,8,
TTM,39086,,29903,,,,,9183,24%,623,1725,2664,5417,,5986,207.42,,,,,,,,,,,,,,,,,,,,,,,532538,,,
Sep 2020,,,,,,,,,,,,,,,,,,289,289,40461,20848,19710,3648,,16055,81308,55913,,,1079,9865,14452,3907,2242,946,585,6772,81308,532538,,7,
Mar 2011,29.47,,28.04,70%,17%,1%,6%,1.43,4.85%,0.03,0.92,0.32,0.22,31.82%,0.14,0.84,0.00%,1.67,1.67,0.58,9.14,2.09,1.90,0.00,0.19,13.48,1.74,3.03,1.29,0.00,0.00,11.74,4.99,5.71,0.35,0.69,0.00,13.48,NSE - SM : JETKNIT,,,
Mar 2012,28.28,-4.04%,26.48,64%,20%,2%,9%,1.80,6.36%,0.03,1.20,0.41,0.22,31.82%,0.16,0.96,0.00%,1.67,1.67,0.74,10.20,3.17,2.79,0.11,0.27,15.78,2.37,4.05,1.67,0.00,0.00,13.41,7.89,4.27,0.30,0.94,0.01,15.78,NSE - SM : JETKNIT,,,
Mar 2013,34.75,22.88%,32.85,69%,16%,2%,8%,1.90,5.47%,0.11,1.29,0.46,0.26,34.62%,0.17,1.02,0.00%,1.67,1.67,0.90,11.18,3.59,2.83,0.41,0.35,17.34,2.32,4.45,2.13,0.00,0.00,15.02,8.07,5.40,0.42,1.13,0.00,17.34,NSE - SM : JETKNIT,,,
Mar 2014,37.61,8.23%,35.59,70%,15%,2%,8%,2.02,5.37%,0.02,1.29,0.46,0.29,31.03%,0.20,1.20,0.00%,1.67,1.67,1.10,12.20,3.07,2.58,0.13,0.36,18.04,2.59,5.18,2.59,0.00,0.07,15.38,5.98,7.23,1.12,1.04,0.01,18.04,NSE - SM : JETKNIT,,,
